Category,net_type,batch_size,rd,Image_ROCAUC,Patch_ROCAUC,F1,BaseLine,InferenceTime(s)
bottle,eff,1,100,0.8801587301587301,0.9341414212702952,0.7307692307692308,0.2409638554216867,0.1715865422444171
cable,eff,1,100,0.6175037481259371,0.7847337720763085,0.5948717948717949,0.3866666666666666,0.1751071389516194
capsule,eff,1,100,0.624252094136418,0.9224513923405764,0.380952380952381,0.1742424242424242,0.1699263417359554
carpet,eff,1,100,0.771669341894061,0.9644348319040694,0.5681818181818182,0.2393162393162393,0.170062291316497
grid,eff,1,100,0.6424394319131161,0.924609156510492,0.5405405405405405,0.2692307692307692,0.1700893212587405
hazelnut,eff,1,100,0.6253571428571428,0.9255702661149684,0.6,0.3636363636363636,0.1682216275822032
leather,eff,1,100,0.5499320652173914,0.9833240073269992,0.4848484848484848,0.2580645161290322,0.1696854022241407
metal_nut,eff,1,100,0.6979472140762464,0.8059359339277999,0.4675324675324675,0.1913043478260869,0.1702950436135997
pill,eff,1,100,0.7351336606655755,0.8526118141380543,0.4210526315789473,0.155688622754491,0.1687141664013891
screw,eff,1,100,0.4308259889321582,0.9235758624025572,0.422680412371134,0.25625,0.1663277685642242
tile,eff,1,100,0.7655122655122655,0.886456708368874,0.62,0.282051282051282,0.1680002212524414
toothbrush,eff,1,100,0.675,0.9231634236594204,0.5517241379310345,0.2857142857142857,0.1729089021682739
transistor,eff,1,100,0.7141666666666666,0.9054005132426368,0.8,0.6,0.1693675088882446
wood,eff,1,100,0.8241228070175439,0.8369545217400925,0.78125,0.3877551020408163,0.1677031614342514
zipper,eff,1,100,0.7899159663865547,0.941159426924718,0.5555555555555556,0.2119205298013245,0.16746110789823215
